HASH,NUMBER,STREET,CITY,REGION,POSTCODE,LON,LAT
oa_caba_001,800,Defensa,Ciudad Autónoma de Buenos Aires,CABA,C1065,-58.3716318,-34.6170623
oa_caba_002,1234,Av. Corrientes,Ciudad Autónoma de Buenos Aires,CABA,C1043,-58.3844481,-34.6040186
oa_caba_003,3500,Av. Córdoba,Ciudad Autónoma de Buenos Aires,CABA,C1187,-58.4158884,-34.597964
oa_caba_004,2500,Av. Santa Fe,Ciudad Autónoma de Buenos Aires,CABA,C1425,-58.4022543,-34.5945841
oa_caba_005,1500,Av. Independencia,Ciudad Autónoma de Buenos Aires,CABA,C1100,-58.3855,-34.6172
oa_caba_006,800,Av. Paseo Colón,Ciudad Autónoma de Buenos Aires,CABA,C1063,-58.3698,-34.6165
oa_caba_007,800,Brandsen,Ciudad Autónoma de Buenos Aires,CABA,C1161,-58.3642,-34.6355
oa_caba_008,2200,Av. San Juan,Ciudad Autónoma de Buenos Aires,CABA,C1232,-58.3988,-34.6224
oa_caba_009,1800,Av. Caseros,Ciudad Autónoma de Buenos Aires,CABA,C1264,-58.3918,-34.6372
oa_caba_010,1400,Av. Belgrano,Ciudad Autónoma de Buenos Aires,CABA,C1092,-58.3841,-34.6128
oa_caba_011,3200,Av. Santa Fe,Ciudad Autónoma de Buenos Aires,CABA,C1425,-58.41007,-34.58925
oa_caba_012,2400,Av. Cabildo,Ciudad Autónoma de Buenos Aires,CABA,C1428,-58.45918,-34.55938
oa_caba_013,4800,Av. Rivadavia,Ciudad Autónoma de Buenos Aires,CABA,C1204,-58.432,-34.610
oa_caba_014,1100,Av. Juan de Garay,Ciudad Autónoma de Buenos Aires,CABA,C1153,-58.3812,-34.6278
oa_caba_015,900,Chile,Ciudad Autónoma de Buenos Aires,CABA,C1098,-58.3756,-34.6169
