# locale(country) TAB address — solo texto, sin coords (normalize/parser)
en	US	100 Biscayne Blvd, Miami, FL 33132
en	US	2500 NE 71st St, Miami, FL 33138
es	AR	Av. Corrientes 1234, Buenos Aires, Argentina
es	AR	Av. Santa Fe 2500, Buenos Aires
es	AR	Defensa 800, San Telmo, CABA
es	AR	Av. Córdoba 3500, Almagro, Buenos Aires
pt	BR	Rua Augusta 1500, São Paulo, SP
fr	FR	10 Rue de Rivoli, 75001 Paris
de	DE	Friedrichstraße 100, 10117 Berlin
en	GB	10 Downing Street, London SW1A 2AA
es	MX	Av. Insurgentes Sur 1602, Ciudad de México
en	IN	221B Baker Street, Bangalore, Karnataka 560001
