delivery_id,lat,lng,address,zone,package_id,weight_kg,length_cm,width_cm,height_cm,status
VP-1000,-34.5898,-58.3772,"Av. del Libertador 900, Buenos Aires",Retiro,VP-PKG-001,0.5,22,18,6,PENDING
VP-1001,-34.5921,-58.3745,"Maipú 400, Buenos Aires",Retiro,VP-PKG-002,0.15,22,18,6,PENDING
VP-1002,-34.6012,-58.3848,"Lavalle 1200, Buenos Aires",San Nicolás,VP-PKG-003,0.35,22,18,6,PENDING
VP-1003,-34.6025,-58.3795,"Tucumán 900, Buenos Aires",San Nicolás,VP-PKG-004,0.22,22,18,6,PENDING
VP-1004,-34.5955,-58.3812,"Sarmiento 600, Buenos Aires",Retiro,VP-PKG-005,1.1,22,18,6,PENDING
VP-1005,-34.5938,-58.3768,"Esmeralda 300, Buenos Aires",Retiro,VP-PKG-006,0.4,22,18,6,PENDING
VP-1006,-34.5915,-58.3721,"Reconquista 500, Buenos Aires",Retiro,VP-PKG-007,0.18,22,18,6,PENDING
VP-1007,-34.5942,-58.3738,"San Martín 200, Buenos Aires",Retiro,VP-PKG-008,0.55,22,18,6,PENDING
VP-1008,-34.5998,-58.3825,"Viamonte 800, Buenos Aires",San Nicolás,VP-PKG-009,0.3,22,18,6,PENDING
VP-1009,-34.5972,-58.3788,"Cerrito 700, Buenos Aires",Retiro,VP-PKG-010,0.05,22,18,6,PENDING
VP-1010,-34.5965,-58.3755,"Libertad 450, Buenos Aires",Retiro,VP-PKG-011,0.08,22,18,6,PENDING
VP-1011,-34.5988,-58.3742,"Florida 500, Buenos Aires",Retiro,VP-PKG-012,0.65,22,18,6,PENDING
VP-1998,,,"Paraguay 1200, Buenos Aires",Retiro,VP-PKG-GEO,0.8,,,,PENDING
VP-1999,95,200,"Invalid row, Buenos Aires",Retiro,VP-PKG-BAD,0.5,,,,PENDING
