code,name
AE,Aerosol
AM,Ampoule
AT,Atomizer
BA,Barrel
BG,Bag
BJ,Bucket
BO,Bottle
BX,Box
CA,Can
CG,Cage
CH,Chest
CJ,Coffin
CK,Cask
CL,Coil
CN,Container
CR,Crate
CS,Case
CT,Carton
CX,Can case
CY,Cylinder
DJ,Demijohn
DR,Drum
EN,Envelope
FC,Fruit crate
FI,Firkin
FL,Flask
FP,Filmpack
FR,Frame
GB,Gas bottle
GI,Girder
HG,Hogshead
HR,Hamper
IN,Ingot
JR,Jar
JG,Jug
KG,Keg
LG,Log
LZ,Logs in bundle
MB,Milk crate
MC,Milk crate
MT,Mat
MX,Matchbox
NE,Unpacked
NS,Nest
NT,Net
PA,Packet
PC,Parcel
PH,Pitcher
PI,Pipe
PK,Package
PL,Pail
PX,Pallet
PY,Plate
RD,Rod
RG,Ring
RK,Rack
RL,Reel
RO,Roll
RT,Rednet
SA,Sack
SC,Crate shallow
SD,Spindle
SE,Sea-chest
SH,Sachet
SK,Skeleton case
SL,Slipsheet
ST,Sheet
SU,Suitcase
SW,Shrinkwrapped
SZ,Sheet in bundle
TB,Tub
TC,Tea-chest
TK,Tank
TN,Tin
TR,Trunk
TS,Truss
TU,Tube
TY,Tank cylinder
VG,Bulk gas
VL,Bulk liquid
VO,Bulk solid
VP,Vacuum-packed
WA,Wickerbottle
WR,Wrapper
